feature,mean_abs_shap,mean_shap,lgb_importance,influence
num__backlogs,0.12168769091748627,0.00014044508924754235,509,increasing
num__internships_count,0.08074533227524454,-5.8785120556676215e-05,961,decreasing
num__projects_count,0.080706201863996,6.539530086975072e-05,995,increasing
num__coding_skill_score,0.07468328898156311,-3.669436870199157e-05,1278,decreasing
num__mock_interview_score,0.0637208478526306,-5.764446886416393e-05,1342,decreasing
num__logical_reasoning_score,0.04853781893660032,-7.37426025531132e-05,1343,decreasing
num__aptitude_score,0.045124511200837776,-5.776682862042097e-05,1156,decreasing
num__communication_skill_score,0.04489487465414804,-2.5328116014744905e-05,1083,decreasing
num__leadership_score,0.028361747166704986,4.3735471745408125e-05,1051,increasing
num__extracurricular_score,0.020925031295882603,9.959575622630083e-06,986,increasing
num__cgpa,0.009765968957753732,-1.6271394579495743e-06,833,decreasing
num__attendance_percentage,0.008329375583718898,2.0866258942844888e-05,659,increasing
num__github_repos,0.004366739915696384,1.4658645417538976e-05,249,increasing
num__linkedin_connections,0.003981765894968277,2.4084413485226e-05,677,increasing
num__sleep_hours,0.0038618502000759237,4.476923743735048e-06,568,increasing
num__study_hours_per_day,0.003580104474401699,3.071271701586397e-06,579,increasing
num__certifications_count,0.0017630767069689262,-2.356737819944563e-06,161,decreasing
cat__college_tier_Tier 3,0.0015954396180332731,1.5695354321818372e-06,51,increasing
num__age,0.0009208250213377184,2.679369843722213e-06,130,increasing
cat__college_tier_Tier 2,0.0008349505999873233,-6.8114351091948785e-06,21,decreasing
cat__volunteer_experience_No,0.0007531097273961568,-1.25596912670225e-06,33,decreasing
cat__gender_Female,0.0006832423945183757,1.6968187730746128e-06,30,increasing
num__hackathons_participated,0.000618806260296407,-2.83481080392916e-06,109,decreasing
cat__branch_ECE,0.0005865840772506658,6.091939288693337e-07,31,increasing
cat__branch_IT,0.0004716001486146438,-2.493990192228507e-06,27,decreasing
cat__branch_Civil,0.00043216522878885226,-1.8702575577527e-06,20,decreasing
cat__branch_CSE,0.0003583984444888573,-2.955880738768702e-06,24,decreasing
cat__branch_Mechanical,0.0002792540329574188,7.748566540049293e-07,23,increasing
cat__volunteer_experience_Yes,0.0002727491075516785,-1.6956980156447215e-06,12,decreasing
cat__college_tier_Tier 1,0.0002251965298007693,-3.0205897322107384e-06,28,decreasing
cat__branch_EEE,0.00014383311425178105,1.1137417265524292e-06,18,increasing
cat__gender_Male,0.00013416211047519272,1.7475467307591218e-06,13,increasing
